dateRep,day,month,year,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
31/07/2020,31,7,2020,382,3,5.66936007
30/07/2020,30,7,2020,288,6,5.41753578
29/07/2020,29,7,2020,202,11,5.20878669
28/07/2020,28,7,2020,168,5,5.06299368
27/07/2020,27,7,2020,254,5,5.06465042
26/07/2020,26,7,2020,274,5,5.03151564
25/07/2020,25,7,2020,252,5,4.88903611
24/07/2020,24,7,2020,306,10,4.92879784
23/07/2020,23,7,2020,280,9,4.77637787
22/07/2020,22,7,2020,128,15,4.6322416
21/07/2020,21,7,2020,190,13,4.64715225
20/07/2020,20,7,2020,218,3,4.67697355
19/07/2020,19,7,2020,249,14,4.63389834
18/07/2020,18,7,2020,231,11,4.610704
17/07/2020,17,7,2020,230,20,4.59745009
16/07/2020,16,7,2020,162,13,4.54940466
15/07/2020,15,7,2020,114,17,4.58253944
14/07/2020,14,7,2020,169,13,4.62892812
13/07/2020,13,7,2020,234,9,4.55768836
12/7/2020,12,7,2020,188,7,4.45828403
11/7/2020,11,7,2020,276,12,4.43674643
10/7/2020,10,7,2020,214,12,4.40195491
9/7/2020,9,7,2020,193,15,4.53780749
8/7/2020,8,7,2020,137,30,5.17399518
7/7/2020,7,7,2020,208,8,5.13423345
6/7/2020,6,7,2020,192,7,5.15577105
5/7/2020,5,7,2020,235,21,5.20878669
4/7/2020,4,7,2020,223,15,5.25683212
3/7/2020,3,7,2020,201,30,4.64218203
2/7/2020,2,7,2020,182,21,4.85755807
1/7/2020,1,7,2020,142,23,5.09944193
31/08/2020,31,8,2020,1365,4,23.69633463
30/08/2020,30,8,2020,1444,1,22.2251506
29/08/2020,29,8,2020,1460,9,20.8749085
28/08/2020,28,8,2020,1409,5,19.40703795
27/08/2020,27,8,2020,1366,13,17.93751066
26/08/2020,26,8,2020,876,4,16.46301316
25/08/2020,25,8,2020,953,4,15.69428637
24/08/2020,24,8,2020,1209,7,14.54450966
23/08/2020,23,8,2020,1071,3,13.30858254
22/08/2020,22,8,2020,947,9,12.10910367
21/08/2020,21,8,2020,840,6,11.45469186
20/08/2020,20,8,2020,642,7,10.72738354
19/08/2020,19,8,2020,401,5,10.29994493
18/08/2020,18,8,2020,320,4,9.95037305
17/08/2020,17,8,2020,477,4,9.68363811
16/08/2020,16,8,2020,629,158,9.28767754
15/08/2020,15,8,2020,574,3,8.7343268
14/08/2020,14,8,2020,522,6,8.41126274
13/08/2020,13,8,2020,476,10,8.17931931
12/8/2020,12,8,2020,412,6,7.86785242
11/8/2020,11,8,2020,259,4,7.51993728
10/8/2020,10,8,2020,463,2,7.36917405
9/8/2020,9,8,2020,347,13,7.02291565
8/8/2020,8,8,2020,552,3,6.90197372
7/8/2020,7,8,2020,401,6,6.40495208
6/8/2020,6,8,2020,384,10,6.2475619
5/8/2020,5,8,2020,190,5,6.07526107
4/8/2020,4,8,2020,159,12,5.97254327
3/8/2020,3,8,2020,238,8,6.02390217
2/8/2020,2,8,2020,295,5,5.99076739
1/8/2020,1,8,2020,379,9,5.91455741
30/09/2020,30,9,2020,1647,24,38.13978323
29/09/2020,29,9,2020,1494,16,37.44726642
28/09/2020,28,9,2020,1766,17,36.64209138
27/09/2020,27,9,2020,1869,17,36.12850236
26/09/2020,26,9,2020,1912,20,35.51882249
25/09/2020,25,9,2020,1786,23,35.02842781
24/09/2020,24,9,2020,1640,20,34.71530419
23/09/2020,23,9,2020,1391,14,34.36738905
22/09/2020,22,9,2020,1350,17,34.33094079
21/09/2020,21,9,2020,1587,15,33.99959304
20/09/2020,20,9,2020,1637,24,33.51748206
19/09/2020,19,9,2020,1907,10,33.61191617
18/09/2020,18,9,2020,1583,13,33.32198688
17/09/2020,17,9,2020,1452,12,33.01383347
16/09/2020,16,9,2020,1229,9,32.80508439
15/09/2020,15,9,2020,1008,14,32.38427274
14/09/2020,14,9,2020,1456,7,32.36439187
13/09/2020,13,9,2020,1501,6,32.21362864
12/9/2020,12,9,2020,1616,10,32.11919453
11/9/2020,11,9,2020,1597,10,31.86074329
10/9/2020,10,9,2020,1430,14,31.5492764
9/9/2020,9,9,2020,1369,10,31.44324512
8/9/2020,8,9,2020,1150,12,30.6264729
7/9/2020,7,9,2020,1296,7,30.30009537
6/9/2020,6,9,2020,1694,16,30.15595909
5/9/2020,5,9,2020,1732,11,29.12381084
4/9/2020,4,9,2020,1397,10,27.8232709
3/9/2020,3,9,2020,1326,6,26.90046741
2/9/2020,2,9,2020,975,8,25.76725809
1/9/2020,1,9,2020,996,6,24.81629004
30/06/2020,30,6,2020,126,6,5.21210017
29/06/2020,29,6,2020,174,22,5.50202946
28/06/2020,28,6,2020,175,8,5.77373461
27/06/2020,27,6,2020,255,30,6.05703694
26/06/2020,26,6,2020,296,34,5.90461698
25/06/2020,25,6,2020,577,-31,6.04212629
24/06/2020,24,6,2020,113,18,5.42084926
23/06/2020,23,6,2020,221,23,5.70249485
22/06/2020,22,6,2020,224,24,5.80024243
21/06/2020,21,6,2020,264,49,5.75551049
20/06/2020,20,6,2020,-148,47,5.76545092
19/06/2020,19,6,2020,331,66,6.86883894
18/06/2020,18,6,2020,328,43,6.61370117
17/06/2020,17,6,2020,210,34,6.602104
16/06/2020,16,6,2020,301,26,6.78103179
15/06/2020,15,6,2020,338,44,6.57725292
14/06/2020,14,6,2020,346,78,6.60541748
13/06/2020,13,6,2020,163,56,6.72138919
12/6/2020,12,6,2020,379,53,7.30621798
11/6/2020,11,6,2020,202,71,7.66076007
10/6/2020,10,6,2020,283,79,8.29363428
9/6/2020,9,6,2020,280,65,8.4825025
8/6/2020,8,6,2020,197,53,8.51563728
7/6/2020,7,6,2020,270,72,9.06898803
6/6/2020,6,6,2020,518,85,9.7300268
5/6/2020,5,6,2020,177,88,9.95202979
4/6/2020,4,6,2020,321,71,10.72241332
3/6/2020,3,6,2020,318,55,11.29233146
2/6/2020,2,6,2020,178,60,12.11241715
1/6/2020,1,6,2020,355,75,12.56470683
31/05/2020,31,5,2020,416,111,13.09486324
30/05/2020,30,5,2020,516,87,13.85530633
29/05/2020,29,5,2020,593,70,14.30759602
