date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2/24/2021,Australia,8,0,28947,909,35,0,68,0
2/25/2021,Australia,10,0,28957,909,39,0,70,0
2/26/2021,Australia,8,0,28965,909,45,0,73,0
2/27/2021,Australia,5,0,28970,909,44,0,72,0
2/28/2021,Australia,8,0,28978,909,48,0,78,0
3/1/2021,Australia,8,0,28986,909,49,0,81,0
3/2/2021,Australia,10,0,28996,909,57,0,85,0
3/3/2021,Australia,11,0,29007,909,60,0,95,0
3/4/2021,Australia,14,0,29021,909,64,0,103,0
3/5/2021,Australia,8,0,29029,909,64,0,109,0
3/6/2021,Australia,5,0,29034,909,64,0,108,0
3/7/2021,Australia,12,0,29046,909,68,0,116,0
3/8/2021,Australia,15,0,29061,909,75,0,124,0
3/9/2021,Australia,13,0,29074,909,78,0,135,0
3/10/2021,Australia,16,0,29090,909,83,0,143,0
3/11/2021,Australia,12,0,29102,909,81,0,145,0
3/12/2021,Australia,10,0,29112,909,83,0,147,0
3/13/2021,Australia,5,0,29117,909,83,0,147,0
3/14/2021,Australia,13,0,29130,909,84,0,152,0
3/15/2021,Australia,7,0,29137,909,76,0,151,0
3/16/2021,Australia,17,0,29154,909,80,0,158,0
3/17/2021,Australia,12,0,29166,909,76,0,159,0
3/18/2021,Australia,17,0,29183,909,81,0,162,0
3/19/2021,Australia,9,0,29192,909,80,0,163,0
3/20/2021,Australia,4,0,29196,909,79,0,162,0
3/21/2021,Australia,10,0,29206,909,76,0,160,0
3/22/2021,Australia,5,0,29211,909,74,0,150,0
3/23/2021,Australia,10,0,29221,909,67,0,147,0
3/24/2021,Australia,9,0,29230,909,64,0,140,0
3/25/2021,Australia,9,0,29239,909,56,0,137,0
3/26/2021,Australia,13,0,29252,909,60,0,140,0
3/27/2021,Australia,7,0,29259,909,63,0,142,0
3/28/2021,Australia,17,0,29276,909,70,0,146,0
3/29/2021,Australia,20,0,29296,909,85,0,159,0
3/30/2021,Australia,8,0,29304,909,83,0,150,0
3/31/2021,Australia,18,0,29322,909,92,0,156,0
4/1/2021,Australia,11,0,29333,909,94,0,150,0
4/2/2021,Australia,8,0,29341,909,89,0,149,0
4/3/2021,Australia,7,0,29348,909,89,0,152,0
4/4/2021,Australia,9,0,29357,909,81,0,151,0
4/5/2021,Australia,8,0,29365,909,69,0,154,0
4/6/2021,Australia,14,0,29379,909,75,0,158,0
4/7/2021,Australia,6,0,29385,909,63,0,155,0
4/8/2021,Australia,5,0,29390,909,57,0,151,0
4/9/2021,Australia,6,0,29396,909,55,0,144,0
4/10/2021,Australia,9,0,29405,909,57,0,146,0
4/11/2021,Australia,14,0,29419,909,62,0,143,0
4/12/2021,Australia,10,1,29429,910,64,1,133,1
4/13/2021,Australia,21,0,29450,910,71,1,146,1
4/14/2021,Australia,19,0,29469,910,84,1,147,1
4/15/2021,Australia,15,0,29484,910,94,1,151,1
4/16/2021,Australia,15,0,29499,910,103,1,158,1
4/17/2021,Australia,20,0,29519,910,114,1,171,1
4/18/2021,Australia,14,0,29533,910,114,1,176,1
4/19/2021,Australia,23,0,29556,910,127,0,191,1
4/20/2021,Australia,20,0,29576,910,126,0,197,1
4/21/2021,Australia,18,0,29594,910,125,0,209,1
4/22/2021,Australia,44,0,29638,910,154,0,248,1
4/23/2021,Australia,15,0,29653,910,154,0,257,1
4/24/2021,Australia,10,0,29663,910,144,0,258,1
4/25/2021,Australia,17,0,29680,910,147,0,261,1
4/26/2021,Australia,37,0,29717,910,161,0,288,0
4/27/2021,Australia,33,0,29750,910,174,0,300,0
4/28/2021,Australia,23,0,29773,910,179,0,304,0
4/29/2021,Australia,25,0,29798,910,160,0,314,0
4/30/2021,Australia,13,0,29811,910,158,0,312,0
5/1/2021,Australia,13,0,29824,910,161,0,305,0
5/2/2021,Australia,14,0,29838,910,158,0,305,0
5/3/2021,Australia,12,0,29850,910,133,0,294,0
5/4/2021,Australia,15,0,29865,910,115,0,289,0
5/5/2021,Australia,19,0,29884,910,111,0,290,0
5/6/2021,Australia,9,0,29893,910,95,0,255,0
5/7/2021,Australia,13,0,29906,910,95,0,253,0
5/8/2021,Australia,16,0,29922,910,98,0,259,0
5/9/2021,Australia,9,0,29931,910,93,0,251,0
5/10/2021,Australia,7,0,29938,910,88,0,221,0
5/11/2021,Australia,8,0,29946,910,81,0,196,0
5/12/2021,Australia,9,0,29955,910,71,0,182,0
5/13/2021,Australia,2,0,29957,910,64,0,159,0
5/14/2021,Australia,7,0,29964,910,58,0,153,0
5/15/2021,Australia,11,0,29975,910,53,0,151,0
5/16/2021,Australia,3,0,29978,910,47,0,140,0
5/17/2021,Australia,5,0,29983,910,45,0,133,0
5/18/2021,Australia,9,0,29992,910,46,0,127,0
5/19/2021,Australia,3,0,29995,910,40,0,111,0
5/20/2021,Australia,4,0,29999,910,42,0,106,0
5/21/2021,Australia,4,0,30003,910,39,0,97,0
5/22/2021,Australia,4,0,30007,910,32,0,85,0
5/23/2021,Australia,12,0,30019,910,41,0,88,0
5/24/2021,Australia,10,0,30029,910,46,0,91,0
5/25/2021,Australia,17,0,30046,910,54,0,100,0
5/26/2021,Australia,17,0,30063,910,68,0,108,0
5/27/2021,Australia,11,0,30074,910,75,0,117,0
5/28/2021,Australia,9,0,30083,910,80,0,119,0
5/29/2021,Australia,13,0,30096,910,89,0,121,0
5/30/2021,Australia,9,0,30105,910,86,0,127,0
5/31/2021,Australia,13,0,30118,910,89,0,135,0
6/1/2021,Australia,6,0,30124,910,78,0,132,0
1/1/2021,Italy,22210,462,2129376,74621,101022,3262,207598,6727
1/2/2021,Italy,11825,364,2141201,74985,102442,3365,203118,6538
1/3/2021,Italy,14245,347,2155446,75332,107750,3407,202261,6533
1/4/2021,Italy,10798,348,2166244,75680,109967,3310,202190,6466
1/5/2021,Italy,15375,649,2181619,76329,114132,3300,204249,6487
1/6/2021,Italy,20326,548,2201945,76877,118256,3273,210667,6482
1/7/2021,Italy,18416,414,2220361,77291,113195,3132,211044,6391
1/8/2021,Italy,17529,620,2237890,77911,108514,3290,209536,6552
1/9/2021,Italy,19976,483,2257866,78394,116665,3409,219107,6774
1/10/2021,Italy,18625,361,2276491,78755,121045,3423,228795,6830
1/11/2021,Italy,12530,448,2289021,79203,122777,3523,232744,6833
1/12/2021,Italy,14242,616,2303263,79819,121644,3490,235776,6790
1/13/2021,Italy,15773,507,2319036,80326,117091,3449,235347,6722
1/14/2021,Italy,17243,522,2336279,80848,115918,3557,229113,6689
1/15/2021,Italy,16144,477,2352423,81325,114533,3414,223047,6704
1/16/2021,Italy,16310,475,2368733,81800,110867,3406,227532,6815
1/17/2021,Italy,12544,377,2381277,82177,104786,3422,225831,6845
1/18/2021,Italy,8825,377,2390102,82554,101081,3351,223858,6874
1/19/2021,Italy,10496,603,2400598,83157,97335,3338,218979,6828
1/20/2021,Italy,13568,524,2414166,83681,95130,3355,212221,6804
1/21/2021,Italy,14055,521,2428221,84202,91942,3354,207860,6911
1/22/2021,Italy,13633,472,2441854,84674,89431,3349,203964,6763
1/23/2021,Italy,13331,488,2455185,85162,86452,3362,197319,6768
1/24/2021,Italy,11628,299,2466813,85461,85536,3284,190322,6706
1/25/2021,Italy,8559,420,2475372,85881,85270,3327,186351,6678
1/26/2021,Italy,10584,541,2485956,86422,85358,3265,182693,6603
1/27/2021,Italy,15191,467,2501147,86889,86981,3208,182111,6563
1/28/2021,Italy,14360,492,2515507,87381,87286,3179,179228,6533
1/29/2021,Italy,13563,477,2529070,87858,87216,3184,176647,6533
1/30/2021,Italy,12713,421,2541783,88279,86598,3117,173050,6479
1/31/2021,Italy,11249,237,2553032,88516,86219,3055,171755,6339
2/1/2021,Italy,7925,329,2560957,88845,85585,2964,170855,6291
2/2/2021,Italy,9651,499,2570608,89344,84652,2922,170010,6187
2/3/2021,Italy,13182,476,2583790,89820,82643,2931,169624,6139
2/4/2021,Italy,13656,421,2597446,90241,81939,2860,169225,6039
2/5/2021,Italy,14213,377,2611659,90618,82589,2760,169805,5944
2/6/2021,Italy,13439,385,2625098,91003,83315,2724,169913,5841
2/7/2021,Italy,11640,270,2636738,91273,83706,2757,169925,5812
2/8/2021,Italy,7969,307,2644707,91580,83750,2735,169335,5699
2/9/2021,Italy,10612,422,2655319,92002,84711,2658,169363,5580
2/10/2021,Italy,12947,336,2668266,92338,84476,2518,167119,5449
2/11/2021,Italy,15137,391,2683403,92729,85957,2488,167896,5348
2/12/2021,Italy,13893,316,2697296,93045,85637,2427,168226,5187
2/13/2021,Italy,13523,311,2710819,93356,85721,2353,169036,5077
2/14/2021,Italy,11060,221,2721879,93577,85141,2304,168847,5061
2/15/2021,Italy,7344,258,2729223,93835,84516,2255,168266,4990
2/16/2021,Italy,10368,336,2739591,94171,84272,2169,168983,4827
2/17/2021,Italy,12066,369,2751657,94540,83391,2202,167867,4720
2/18/2021,Italy,13755,347,2765412,94887,82009,2158,167966,4646
2/19/2021,Italy,15470,348,2780882,95235,83586,2190,169223,4617
2/20/2021,Italy,14914,251,2795796,95486,84977,2130,170698,4483
2/21/2021,Italy,13450,232,2809246,95718,87367,2141,172508,4445
2/22/2021,Italy,9617,274,2818863,95992,89640,2157,174156,4412
2/23/2021,Italy,13299,356,2832162,96348,92571,2177,176843,4346
2/24/2021,Italy,16402,318,2848564,96666,96907,2126,180298,4328
2/25/2021,Italy,19871,308,2868435,96974,103023,2087,185032,4245
2/26/2021,Italy,20488,253,2888923,97227,108041,1992,191627,4182
2/27/2021,Italy,18902,280,2907825,97507,112029,2021,197006,4151
2/28/2021,Italy,17440,192,2925265,97699,116019,1981,203386,4122
3/1/2021,Italy,13106,246,2938371,97945,119508,1953,209148,4110
3/2/2021,Italy,17063,343,2955434,98288,123272,1940,215843,4117
3/3/2021,Italy,20840,347,2976274,98635,127710,1969,224617,4095
3/4/2021,Italy,22845,339,2999119,98974,130684,2000,233707,4087
3/5/2021,Italy,24010,297,3023129,99271,134206,2044,242247,4036
3/6/2021,Italy,23633,307,3046762,99578,138937,2071,250966,4092
3/7/2021,Italy,20724,207,3067486,99785,142221,2086,258240,4067
3/8/2021,Italy,13882,318,3081368,100103,142997,2158,262505,4111
3/9/2021,Italy,19725,376,3101093,100479,145659,2191,268931,4131
3/10/2021,Italy,22275,332,3123368,100811,147094,2176,274804,4145
3/11/2021,Italy,25649,373,3149017,101184,149898,2210,280582,4210
3/12/2021,Italy,26790,380,3175807,101564,152678,2293,286884,4337
3/13/2021,Italy,26031,317,3201838,101881,155076,2303,294013,4374
3/14/2021,Italy,21304,264,3223142,102145,155656,2360,297877,4446
3/15/2021,Italy,15252,354,3238394,102499,157026,2396,300023,4554
3/16/2021,Italy,20376,502,3258770,103001,157677,2522,303336,4713
3/17/2021,Italy,23040,431,3281810,103432,158442,2621,305536,4797
3/18/2021,Italy,24901,423,3306711,103855,157694,2671,307592,4881
3/19/2021,Italy,25707,386,3332418,104241,156611,2677,309289,4970
3/20/2021,Italy,23913,401,3356331,104642,154493,2761,309569,5064
3/21/2021,Italy,20045,300,3376376,104942,153234,2797,308890,5157
3/22/2021,Italy,24501,386,3400877,105328,162483,2829,319509,5225
3/23/2021,Italy,18739,551,3419616,105879,160846,2878,318523,5400
3/24/2021,Italy,21246,460,3440862,106339,159052,2907,317494,5528
3/25/2021,Italy,23681,460,3464543,106799,157832,2944,315526,5615
3/26/2021,Italy,24076,457,3488619,107256,156201,3015,312812,5692
3/27/2021,Italy,23834,380,3512453,107636,156122,2994,310615,5755
3/28/2021,Italy,19604,297,3532057,107933,155681,2991,308915,5788
3/29/2021,Italy,12900,417,3544957,108350,144080,3022,306563,5851
3/30/2021,Italy,16055,529,3561012,108879,141396,3000,302242,5878
3/31/2021,Italy,23887,467,3584899,109346,144037,3007,303089,5914
4/1/2021,Italy,22184,501,3607083,109847,142540,3048,300372,5992
4/2/2021,Italy,21917,481,3629000,110328,140381,3072,296582,6087
4/3/2021,Italy,21247,376,3650247,110704,137794,3068,293916,6062
4/4/2021,Italy,18017,326,3668264,111030,136207,3097,291888,6088
4/5/2021,Italy,10680,296,3678944,111326,133987,2976,278067,5998
4/6/2021,Italy,7763,421,3686707,111747,125695,2868,267091,5868
4/7/2021,Italy,13686,627,3700393,112374,115494,3028,259531,6035
4/8/2021,Italy,17209,487,3717602,112861,110519,3014,253059,6062
4/9/2021,Italy,18924,718,3736526,113579,107526,3251,247907,6323
4/10/2021,Italy,17551,344,3754077,113923,103830,3219,241624,6287
4/11/2021,Italy,15737,331,3769814,114254,101550,3224,237757,6321
4/12/2021,Italy,9780,358,3779594,114612,100650,3286,234637,6262
4/13/2021,Italy,13439,476,3793033,115088,106326,3341,232021,6209
4/14/2021,Italy,16160,469,3809193,115557,108800,3183,224294,6211
4/15/2021,Italy,16963,380,3826156,115937,108554,3076,219073,6090
4/16/2021,Italy,15923,429,3842079,116366,105553,2787,213079,6038
4/17/2021,Italy,15364,310,3857443,116676,103366,2753,207196,5972
4/18/2021,Italy,12688,251,3870131,116927,100317,2673,201867,5897
4/19/2021,Italy,8863,316,3878994,117243,99400,2631,200050,5917
4/20/2021,Italy,12069,390,3891063,117633,98030,2545,204356,5886
4/21/2021,Italy,13836,364,3904899,117997,95706,2440,204506,5623
4/22/2021,Italy,16046,360,3920945,118357,94789,2420,203343,5496
4/23/2021,Italy,14758,342,3935703,118699,93624,2333,199177,5120
4/24/2021,Italy,13814,322,3949517,119021,92074,2345,195440,5098
4/25/2021,Italy,13157,217,3962674,119238,92543,2311,192860,4984
4/26/2021,Italy,8440,301,3971114,119539,92120,2296,191520,4927
4/27/2021,Italy,10398,373,3981512,119912,90449,2279,188479,4824
4/28/2021,Italy,13382,344,3994894,120256,89995,2259,185701,4699
